127.0.0.1 - - [06/Aug/2025:08:55:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Aug/2025:08:55:16 +0530] "GET /ragisterform/ HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [06/Aug/2025:08:55:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Aug/2025:08:55:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2025:09:38:01 +0530] "GET /ragisterform/ HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:07:26 +0530] "GET /ragisterform/ HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:01:50 +0530] "GET /ragisterform/ HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:02:08 +0530] "POST /ragisterform/register HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:03:43 +0530] "GET /ragisterform/ HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:03:47 +0530] "POST /ragisterform/ajexserch.jsp HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:04:03 +0530] "POST /ragisterform/ajexserch.jsp HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:04:10 +0530] "POST /ragisterform/ajexserch.jsp HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:07:32 +0530] "GET /ragisterform/ HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:07:40 +0530] "POST /ragisterform/ajexserch.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:12:07:41 +0530] "GET /ragisterform/otp.jsp HTTP/1.1" 200 1861
